sec_cde	sec_name	list_date	mkt_sort
611	*ST天首	1996/10/8	s
612	焦作万方	1996/9/26	s
613	*ST东海A	1997/1/28	s
615	奥园美谷	1996/10/16	s
616	ST海投	1996/11/8	s
617	中油资本	1996/10/22	s
619	海螺型材	1996/10/23	s
620	新华联	1996/10/29	s
622	恒立实业	1996/11/7	s
623	吉林敖东	1996/10/28	s
625	长安汽车	1997/6/10	s
626	远大控股	1996/11/28	s
627	天茂集团	1996/11/12	s
628	高新发展	1996/11/18	s
629	攀钢钒钛	1996/11/15	s
630	铜陵有色	1996/11/20	s
631	顺发恒业	1996/11/22	s
632	三木集团	1996/11/21	s
633	合金投资	1996/11/12	s
635	英 力 特	1996/11/20	s
636	风华高科	1996/11/29	s
637	茂化实华	1996/11/14	s
638	万方发展	1996/11/26	s
639	西王食品	1996/11/26	s
650	仁和药业	1996/12/10	s
651	格力电器	1996/11/18	s
652	泰达股份	1996/11/28	s
655	金岭矿业	1996/11/28	s
656	金科股份	1996/11/28	s
657	中钨高新	1996/12/5	s
659	珠海中富	1996/12/3	s
661	长春高新	1996/12/18	s
663	*ST永林	1996/12/6	s
665	湖北广电	1996/12/10	s
666	经纬纺机	1996/12/10	s
667	美好置业	1996/12/5	s
668	荣丰控股	1996/12/10	s
669	*ST金鸿	1996/12/10	s
670	*ST盈方	1996/12/17	s
671	阳 光 城	1996/12/18	s
672	上峰水泥	1996/12/18	s
673	*ST当代	1997/1/24	s
676	智度股份	1996/12/24	s
677	恒天海龙	1996/12/26	s
678	襄阳轴承	1997/1/6	s
679	大连友谊	1997/1/24	s
680	山推股份	1997/1/22	s
681	视觉中国	1997/1/21	s
682	东方电子	1997/1/21	s
683	远兴能源	1997/1/31	s
685	中山公用	1997/1/23	s
686	东北证券	1997/2/27	s
687	*ST华讯	1997/2/21	s
688	国城矿业	1997/1/20	s
690	宝新能源	1997/1/28	s
691	亚太实业	1997/2/28	s
692	惠天热电	1997/2/27	s
695	滨海能源	1997/2/18	s
697	炼石航空	1997/3/25	s
698	沈阳化工	1997/2/20	s
700	模塑科技	1997/2/28	s
701	厦门信达	1997/2/26	s
702	正虹科技	1997/3/18	s
703	恒逸石化	1997/3/28	s
705	浙江震元	1997/4/10	s
707	*ST双环	1997/4/15	s
708	中信特钢	1997/3/26	s
709	河钢股份	1997/4/16	s
710	贝瑞基因	1997/4/22	s
711	京蓝科技	1997/4/11	s
712	锦龙股份	1997/4/15	s
713	丰乐种业	1997/4/22	s
715	中兴商业	1997/5/8	s
716	黑芝麻	1997/4/18	s
717	韶钢松山	1997/5/8	s
718	苏宁环球	1997/4/8	s
719	中原传媒	1997/3/31	s
720	新能泰山	1997/5/9	s
721	西安饮食	1997/4/30	s
722	湖南发展	1997/5/22	s
723	美锦能源	1997/5/15	s
725	京东方Ａ	2001/1/12	s
726	鲁  泰Ａ	2000/12/25	s
727	冠捷科技	1997/5/20	s
728	国元证券	1997/6/16	s
729	燕京啤酒	1997/7/16	s
731	四川美丰	1997/6/17	s
732	泰禾集团	1997/7/4	s
733	振华科技	1997/7/3	s
735	罗 牛 山	1997/6/11	s
736	中交地产	1997/4/25	s
737	南风化工	1997/4/28	s
738	航发控制	1997/6/26	s
739	普洛药业	1997/5/9	s
750	国海证券	1997/7/9	s
751	锌业股份	1997/6/26	s
752	*ST西发	1997/6/25	s
753	漳州发展	1997/6/26	s
755	山西路桥	1997/6/27	s
756	新华制药	1997/8/6	s
757	浩物股份	1997/6/27	s
758	中色股份	1997/4/16	s
759	中百集团	1997/5/19	s
760	*ST斯太	1997/6/27	s
761	本钢板材	1998/1/15	s
762	西藏矿业	1997/7/8	s
766	通化金马	1997/4/30	s
767	晋控电力	1997/6/9	s
768	中航西飞	1997/6/26	s
776	广发证券	1997/6/11	s
777	中核科技	1997/7/10	s
778	新兴铸管	1997/6/6	s
779	甘咨询	1997/5/28	s
780	*ST平能	1997/6/6	s
782	美达股份	1997/6/19	s
783	长江证券	1997/7/31	s
785	居然之家	1997/7/11	s
786	北新建材	1997/6/6	s
788	北大医药	1997/6/16	s
789	万年青	1997/9/23	s
790	华神科技	1998/3/27	s
791	甘肃电投	1997/10/14	s
792	*ST盐湖	1997/9/4	s
793	华闻集团	1997/7/29	s
795	英洛华	1997/8/8	s
796	凯撒旅业	1997/7/3	s
797	中国武夷	1997/7/15	s
798	中水渔业	1998/2/12	s
799	酒鬼酒	1997/7/18	s
800	一汽解放	1997/6/18	s
801	四川九洲	1998/5/6	s
802	ST北文	1998/1/8	s
803	北清环能	1998/3/3	s
806	*ST银河	1998/4/16	s
807	云铝股份	1998/4/8	s
809	铁岭新城	1998/6/16	s
810	创维数字	1998/6/2	s
811	冰轮环境	1998/5/28	s
812	陕西金叶	1998/6/23	s
813	德展健康	1998/5/19	s
815	美利云	1998/6/9	s
816	智慧农业	1997/8/18	s
818	航锦科技	1997/10/17	s
819	岳阳兴长	1997/6/25	s
820	*ST节能	1998/6/30	s
821	京山轻机	1998/6/26	s
822	山东海化	1998/7/3	s
823	超声电子	1997/10/8	s
